"","Overall","var","Variables","Resample"
"280",0.687024915217731,"summary_X440",482,"Fold1"
"281",0.685658713828535,"summary_X206",482,"Fold1"
"282",0.68165007002238,"summary_X656",482,"Fold1"
"283",0.651894033598973,"summary_X183",482,"Fold1"
"284",0.64195852073331,"summary_X1830",482,"Fold1"
"285",0.635125744846241,"title_X114",482,"Fold1"
"286",0.616947648572082,"summary_X389",482,"Fold1"
"287",0.608440051889449,"summary_X552",482,"Fold1"
"288",0.586227744639747,"summary_X242",482,"Fold1"
"289",0.576058577969774,"summary_X156",482,"Fold1"
"290",0.543946882545907,"author_X13201747",482,"Fold1"
"291",0.540577716594184,"summary_X1136",482,"Fold1"
"292",0.523376852290144,"title_X544",482,"Fold1"
"293",0.507872139445884,"author_X56875688",482,"Fold1"
"294",0.483360210691353,"summary_X648",482,"Fold1"
"295",0.481238662399509,"title_X2093",482,"Fold1"
"296",0.455164629274177,"summary_X1577",482,"Fold1"
"297",0.449361246763106,"summary_X202",482,"Fold1"
"298",0.445426640315779,"summary_X294",482,"Fold1"
"299",0.434944095108097,"summary_X1215",482,"Fold1"
"300",0.421050415976095,"title_X825",482,"Fold1"
"301",0.417914588052583,"summary_X505",482,"Fold1"
"302",0.413400757961282,"summary_X1779",482,"Fold1"
"303",0.408506703520132,"title_X516",482,"Fold1"
"304",0.404734593868132,"summary_X278",482,"Fold1"
"305",0.377639710002775,"summary_X588",482,"Fold1"
"306",0.372229795589003,"author_X46383020",482,"Fold1"
"307",0.371020055797943,"summary_X1461",482,"Fold1"
"308",0.367122876087877,"summary_X1155",482,"Fold1"
"309",0.353708904945666,"summary_X184",482,"Fold1"
"310",0.350494338966701,"summary_X487",482,"Fold1"
"311",0.341493290195381,"summary_X400",482,"Fold1"
"312",0.340862564713762,"summary_X1280",482,"Fold1"
"313",0.331933026921517,"summary_X988",482,"Fold1"
"314",0.329953304868092,"summary_X751",482,"Fold1"
"315",0.322989423118793,"summary_X344",482,"Fold1"
"316",0.315737013372087,"summary_X463",482,"Fold1"
"317",0.297495108584481,"summary_X840",482,"Fold1"
"318",0.288514251918189,"summary_X944",482,"Fold1"
"319",0.282823140385581,"summary_X322",482,"Fold1"
"320",0.267460296906106,"summary_X1205",482,"Fold1"
"321",0.266636182985302,"author_X14831563",482,"Fold1"
"322",0.246130707396677,"summary_X1989",482,"Fold1"
"323",0.243226764631675,"title_X988",482,"Fold1"
"324",0.236113616256597,"summary_X669",482,"Fold1"
"325",0.230657175896649,"summary_X1002",482,"Fold1"
"326",0.229628870006119,"summary_X103",482,"Fold1"
"327",0.215084070905834,"summary_X995",482,"Fold1"
"328",0.192233614843277,"summary_X179",482,"Fold1"
"329",0.157997322895265,"summary_X1652",482,"Fold1"
"330",0.148503597021526,"summary_X1027",482,"Fold1"
"331",0.148171508139647,"summary_X413",482,"Fold1"
